Threads: 8, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 40.34
Threads: 9, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 37.82
Threads: 1, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 259.12
Threads: 2, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 130.55
Threads: 3, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 86.6
Threads: 4, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 65.61
Threads: 5, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 53.65
Threads: 6, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 46.4
Threads: 7, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 43.36
Threads: 7, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 34.65
Threads: 10, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 28.09
Threads: 1, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 205.01
Threads: 2, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 102.36
Threads: 3, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 67.7
Threads: 4, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 50.86
Threads: 5, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 41.8
Threads: 6, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 36.73
Threads: 7, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 34.07
Threads: 8, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 32.12
Threads: 9, Passes: 6, PixelCount: 487557, Checksum: 80370371, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 29.91
Threads: 1, Passes: 4, PixelCount: 487557, Checksum: 64323822, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 148.74
